Day,Shift,Period 1,2,3,4,5,6,7,8
17-Jul,2,3,3,2,2,2,2,2,2
17-Jul,3,2,2,2,4,5,4,3,3
18-Jul,1,2,2,2,2,2,2,2,2
18-Jul,2,2,2,2,2,2,2,2,2
18-Jul,3,2,2,3,4,5,4,3,3
19-Jul,1,4,4,4,4,4,2,2,2
19-Jul,2,2,2,2,1,1,1,1,1
19-Jul,3,1,1,2,3,5,4,3,3
20-Jul,1,4,2,4,4,4,3,2,2
20-Jul,2,2,2,2,1,1,1,1,1
20-Jul,3,1,1,2,3,5,4,4,3
21-Jul,1,4,4,2,2,3,4,3,2
21-Jul,2,2,2,1,1,1,1,1,1
21-Jul,3,1,1,1,1,3,3,2,3
22-Jul,1,4,2,2,2,3,2,2,2
22-Jul,2,2,2,2,1,1,1,1,1
22-Jul,3,1,1,1,3,5,4,3,3
23-Jul,1,3,3,2,1,2,2,3,2
23-Jul,2,2,2,2,1,1,1,1,1
23-Jul,3,1,1,1,2,4,3,2,2
24-Jul,1,3,2,1,1,2,2,3,2
24-Jul,2,1,1,1,1,1,1,1,1
24-Jul,3,1,1,1,2,2,2,2,2
25-Jul,1,3,2,1,1,2,2,2,2
25-Jul,2,2,2,2,2,2,1,1,2
25-Jul,3,1,1,1,2,4,3,2,2
26-Jul,1,3,2,1,1,1,2,2,2
26-Jul,2,2,3,2,2,2,2,2,3
26-Jul,3,2,3,3,3,3,3,3,
27-Jul,1,3,2,2,1,2,2,3,2
27-Jul,2,2,2,2,3,2,2,2,3
27-Jul,3,3,2,2,3,3,3,3,3
28-Jul,1,4,4,5,4,3,2,1,2
28-Jul,2,2,2,2,2,2,3,2,2
28-Jul,3,3,3,4,4,3,3,4,
29-Jul,1,,,,,,,,
29-Jul,2,,,,,,,,
29-Jul,3,,,,,,,,
30-Jul,1,,,,,,,,
30-Jul,2,,,,,,,,
30-Jul,3,,,,,,,,
31-Jul,1,,,,,,,,
31-Jul,2,,,,,,,,
31-Jul,3,,,,,,,,
1-Aug,1,,,,,,,,
1-Aug,2,,,,,,,,
1-Aug,3,,,,,,,,
2-Aug,1,,,,,,,,
2-Aug,2,,,,,,,,
2-Aug,3,,,,,,,,
3-Aug,1,,,,,,,,
3-Aug,2,,,,,,,,
3-Aug,3,,,,,,,,
4-Aug,1,,,,,,,,
4-Aug,2,,,,,,,,
4-Aug,3,,,,,,,,
5-Aug,1,,,,,,,,
5-Aug,2,,,,,,,,
5-Aug,3,,,,,,,,
6-Aug,1,,,,,,,,
6-Aug,2,,,,,,,,
6-Aug,3,,,,,,,,
7-Aug,1,,,,,,,,
7-Aug,2,,,,,,,,
7-Aug,3,,,,,,,,
8-Aug,1,,,,,,,,
8-Aug,2,,,,,,,,
8-Aug,3,,,,,,,,
9-Aug,1,,,,,,,,
9-Aug,2,,,,,,,,
9-Aug,3,,,,,,,,
10-Aug,1,,,,,,,,
10-Aug,2,,,,,,,,
10-Aug,3,,,,,,,,
11-Aug,1,,,,,,,,
11-Aug,2,,,,,,,,
11-Aug,3,,,,,,,,
12-Aug,1,,,,,,,,
12-Aug,2,,,,,,,,
12-Aug,3,,,,,,,,
13-Aug,1,,,,,,,,
13-Aug,2,,,,,,,,
13-Aug,3,,,,,,,,
14-Aug,1,,,,,,,,
14-Aug,2,,,,,,,,
14-Aug,3,,,,,,,,
15-Aug,1,,,,,,,,
15-Aug,2,,,,,,,,
15-Aug,3,,,,,,,,
16-Aug,1,,,,,,,,
16-Aug,2,,,,,,,,
16-Aug,3,,,,,,,,
17-Aug,1,,,,,,,,
17-Aug,2,,,,,,,,
17-Aug,3,,,,,,,,
18-Aug,1,,,,,,,,
18-Aug,2,,,,,,,,
18-Aug,3,,,,,,,,
19-Aug,1,,,,,,,,
19-Aug,2,,,,,,,,
19-Aug,3,,,,,,,,
20-Aug,1,,,,,,,,
20-Aug,2,,,,,,,,
20-Aug,3,,,,,,,,
21-Aug,1,,,,,,,,
21-Aug,2,,,,,,,,
21-Aug,3,,,,,,,,
